songs
Enchanted -Taylor Swift
Tonight Tonight by Hot Chella Rae
Street Lights by Kanye West
Video Killed the Radio Star—the Buggles
Counting stars
A Whiter Shade of Pale-Procol Harum
Ocean Man by Ween
"1, 2 Many by Luke Combs"
All Too Well (10 minute version) - Taylor Swift
Best of Both Worlds - Hannah Montana
Time of Your Life - Green Day
Landslide - Fleetwood Mac
anything Dolly Parton sings
anything Lee Brice sings
Pretty Fly for a White Guy 
U2 Anthem
